"Framework","Reference1","Recommendation1","Reference2","Recommendation2","Similarity"
"IFRS S2","IFRS S2 29","An entity shall disclose information relevant to the cross-industry metric categories of:
- (a) greenhouse gases—the entity shall:
      (a)i, disclose its absolute gross greenhouse gas emissions generated during the reporting period, expressed as metric tonnes of CO2 equivalent (see paragraphs B19–B22), classified as:
            (a)i,1 Scope 1 greenhouse gas emissions;
            (a)i,2 Scope 2 greenhouse gas emissions; and
            (a)i,3 Scope 3 greenhouse gas emissions;
      (a)ii measure its greenhouse gas emissions in accordance with the Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (2004) unless required by a jurisdictional authority or an exchange on which the entity is listed to use a different method for measuring its greenhouse gas emissions (see paragraphs B23–B25);
      (a)iii disclose the approach it uses to measure its greenhouse gas emissions (see paragraphs B26–B29) including:
            (a)iii,1 the measurement approach, inputs and assumptions the entity uses to measure its greenhouse gas emissions;
            (a)iii,2 the reason why the entity has chosen the measurement approach, inputs and assumptions it uses to measure its greenhouse gas emissions; and
            (a)iii,3 any changes the entity made to the measurement approach, inputs and assumptions during the reporting period and the reasons for those changes;
      (a)iv for Scope 1 and Scope 2 greenhouse gas emissions disclosed in accordance with paragraph 29(a)(i)(1)–(2), disaggregate emissions between:
            (a)iv,1 the consolidated accounting group (for example, for an entity applying IFRS Accounting Standards, this group would comprise the parent and its consolidated subsidiaries); and
            (a)iv,2 other investees excluded from paragraph 29(a)(iv)(1) (for example, for an entity applying IFRS Accounting Standards, these investees would include associates, joint ventures and unconsolidated subsidiaries);
      (a)v for Scope 2 greenhouse gas emissions disclosed in accordance with paragraph 29(a)(i)(2), disclose its location-based Scope 2 greenhouse gas emissions, and provide information about any contractual instruments that is necessary to inform users’ understanding of the entity’s Scope 2 greenhouse gas emissions (see paragraphs B30–B31); and
      (a)vi for Scope 3 greenhouse gas emissions disclosed in accordance with paragraph 29(a)(i)(3), and with reference to paragraphs B32–B57, disclose:
            (a)vi,1 the categories included within the entity’s measure of Scope 3 greenhouse gas emissions, in accordance with the Scope 3 categories described in the Greenhouse Gas Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard (2011); and
            (a)vi,2 additional information about the entity’s Category 15 greenhouse gas emissions or those associated with its investments (financed emissions), if the entity’s activities include asset management, commercial banking or insurance (see paragraphs B58–B63);
- (b) climate-related transition risks—the amount and percentage of assets or business activities vulnerable to climate-related transition risks;
- (c) climate-related physical risks—the amount and percentage of assets or business activities vulnerable to climate-related physical risks;
- (d) climate-related opportunities—the amount and percentage of assets or business activities aligned with climate-related opportunities;
- (e) capital deployment—the amount of capital expenditure, financing or investment deployed towards climate-related risks and opportunities;
- (f) internal carbon prices—the entity shall disclose:
      (f)i an explanation of whether and how the entity is applying a carbon price in decision-making (for example, investment decisions, transfer pricing and scenario analysis); and
      (f)ii the price for each metric tonne of greenhouse gas emissions the entity uses to assess the costs of its greenhouse gas emissions;
-(g) remuneration—the entity shall disclose:
      (g)i a description of whether and how climate-related considerations are factored into executive remuneration (see also paragraph 6(a)(v)); and
      (g)ii the percentage of executive management remuneration recognised in the current period that is linked to climate related considerations.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.538038774400776
"IFRS S2","IFRS S2 36","For each greenhouse gas emissions target disclosed in accordance with paragraphs 33–35, an entity shall disclose:
- (a) which greenhouse gases are covered by the target.
- (b) whether Scope 1, Scope 2 or Scope 3 greenhouse gas emissions are covered by the target.
- (c) whether the target is a gross greenhouse gas emissions target or net greenhouse gas emissions target. If the entity discloses a net greenhouse gas emissions target, the entity is also required to separately disclose its associated gross greenhouse gas emissions target (see paragraphs B68–B69).
- (d) whether the target was derived using a sectoral decarbonisation approach.
- (e) the entity’s planned use of carbon credits to offset greenhouse gas emissions to achieve any net greenhouse gas emissions target. In explaining its planned use of carbon credits the entity shall disclose information including, and with reference to paragraphs B70–B71:
      (e)i the extent to which, and how, achieving any net greenhouse gas emissions target relies on the use of carbon credits;
      (e)ii which third-party scheme(s) will verify or certify the carbon credits;
      (e)iii the type of carbon credit, including whether the underlying offset will be nature-based or based on technological carbon removals, and whether the underlying offset is achieved through carbon reduction or removal; and
      (e)iv any other factors necessary for users of general purpose financial reports to understand the credibility and integrity of the carbon credits the entity plans to use (for example, assumptions regarding the permanence of the carbon offset).","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.402726767668115
"ESRS E1","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.435128635410167
"ESRS E1","ESRS E1 Metrics and Targets 45","The objective of the Disclosure Requirement in paragraph 44 in respect of:
(a) gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
(b) gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired
(c) gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks.
(d) total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the usptream and donwstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.394606320282316
"ESRS E1","ESRS E1 Metrics and Targets 48","The disclosure on gross Scope 1 GHG emissions required by paragraph 44 (a) shall include:
(a) the gross Scope 1 GHG emissions in metric tonnes of CO2eq; and
(b) the percentage of Scope 1 GHG emissions from regulated emission trading schemes.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.476318915689589
"ESRS E1","ESRS E1 Metrics and Targets 49","The disclosure on gross Scope 2 GHG emissions required by paragraph 44 (b) shall include:
(a) the gross location-based Scope 2 GHG emissions in metric tonnes of CO2eq; and
(b) the gross market-based Scope 2 GHG emissions in metric tonnes of CO2eq.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.424434836185771
"ESRS E1","ESRS E1 Metrics and Targets 51","The disclosure of gross Scope 3 GHG emissions required by paragraph 44 (c) shall include GHG emissions in metric tonnes of CO2eq from each significant Scope 3 category (i.e. each Scope 3 category that is a priority for the undertaking) .","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.460543887865711
"ESRS E1","ESRS E1 Metrics and Targets 52","The disclosure of total GHG emissions required by paragraph 44 (d) shall be the sum of Scope 1, 2 and 3 GHG emissions required by paragraphs 44 (a) to (c). The total GHG emissions shall be disclosed with a disaggregation that makes a distinction of:
(a) the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the location-based method; and
(b) the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the market-based method.","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",0.389145148973341
"TCFD","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.",0.356404114990304
"TCFD","TCFD Metrics and Targets A","Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.",0.394959601579367
"TNFD","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.",0.485186704052849
"IFRS S1","IFRS S1 51","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:
- (a) The metric used to set the target and to monitor progress towards reaching the target;
- (b) The specific quantitative or qualitative target the entity has set or is required to meet;
- (c) The period over which the target applies;
- (d) The base period from which progress is measured;
- (e) Any milestones and interim targets;
- (f) Performance against each target and an analysis of trends or changes in the entity’s performance; and
- (g) Any revisions to the target and an explanation for those revisions.","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.",0.363997321289637
"TCFD","TCFD Governance A","Describe the board’s oversight of climate-related risks and opportunities.","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",0.836281893874005
"TNFD","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",0.428700694977118
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",0.528412042805078
"TCFD","TCFD Governance B","Describe management’s role in assessing and managing climate-related risks and opportunities.","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",0.871944306674889
"TNFD","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",0.428700694977118
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",0.586302710263023
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Governance C","Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",0.359805167539358
"TCFD","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","TNFD Strategy A","Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",0.712237928738278
"TNFD","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.","TNFD Strategy A","Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",0.452765611226219
"TNFD","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).","TNFD Strategy B","Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",0.394630988168648
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Strategy B","Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",0.35577834070803
"TCFD","TCFD Strategy C","Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.","TNFD Strategy C","Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",0.559609122323302
"TCFD","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.",0.409355555880277
"TNFD","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.",1
"TNFD","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.",0.68132840900354
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.",0.470232940211786
"TNFD","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.",0.567065735939987
"TCFD","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).",0.40017585108792
"TNFD","TNFD Strategy B","Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).",0.394630988168648
"TNFD","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).",0.68132840900354
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).",0.459688073987841
"TNFD","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).",0.554349416400618
"TCFD","TCFD Governance B","Describe management’s role in assessing and managing climate-related risks and opportunities.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.364964169286971
"TCFD","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.422655417813687
"TNFD","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.528412042805078
"TNFD","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.586302710263023
"TNFD","TNFD Governance C","Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.359805167539358
"TNFD","TNFD Strategy B","Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.35577834070803
"TNFD","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.470232940211786
"TNFD","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.",0.459688073987841
"TCFD","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.",0.424214922689332
"TCFD","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.",0.478922733687955
"TNFD","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.",0.567065735939987
"TNFD","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.",0.554349416400618
"IFRS S1","IFRS S1 43","The objective of sustainability-related financial disclosures on risk management is to enable users of general purpose financial reports:
- (a) To understand an entity’s processes to identify, assess, prioritise and monitor sustainability-related risks and opportunities, including whether and how those processes are integrated into and inform the entity’s overall risk management process; and
- (b) To assess the entity’s overall risk profile and its overall risk management process.","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.",0.374746110651875
"TCFD","TCFD Metrics and Targets A","Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.",0.674838912355964
"TNFD","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.",0.490995881418113
"TNFD","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.",0.424938348546714
"TNFD","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.",0.490995881418113
"TNFD","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.",1
"TNFD","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.",0.437442150557954
"TCFD","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.",0.485186704052849
"TNFD","TNFD Strategy A","Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.",0.452765611226219
"TNFD","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.",0.424938348546714
"TNFD","TNFD Metrics and Targets B","Disclose the metrics used by the organisation to assess and manage dependencies and impacts on nature.","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.",0.437442150557954
"TNFD","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.","TNFD Metrics and Targets C","Describe the targets and goals used by the organisation to manage nature-related dependencies, impacts, risks and opportunities and its performance against these.",1
"PRA","PRA SS3/19 3.3","Where appropriate, the PRA will expect to see evidence of how the firm monitors and manages the financial risks from climate change in line with its risk appetite statement. The risk appetite statement should include the risk exposure limits and thresholds for the financial risks that the firm is willing to bear, and should take into account factors such as:
- long-term financial interests of the firm, and how decisions today affect future financial risks;
- results of stress and scenario testing, for shorter and longer time horizons;
- uncertainty around the timing and the channels through which the financial risks from climate change may materialise; and
- sensitivity of the balance sheet to changes in key risk drivers and external conditions","PRA SS3/19 3.3","Where appropriate, the PRA will expect to see evidence of how the firm monitors and manages the financial risks from climate change in line with its risk appetite statement. The risk appetite statement should include the risk exposure limits and thresholds for the financial risks that the firm is willing to bear, and should take into account factors such as:
- long-term financial interests of the firm, and how decisions today affect future financial risks;
- results of stress and scenario testing, for shorter and longer time horizons;
- uncertainty around the timing and the channels through which the financial risks from climate change may materialise; and
- sensitivity of the balance sheet to changes in key risk drivers and external conditions",1
"PRA","PRA SS3/19 3.4","The PRA expects firms to have clear roles and responsibilities for the board and its relevant sub-committees in managing the financial risks from climate change. In particular, the board and the highest level of executive management should identify and allocate responsibility for identifying and managing financial risks from climate change to the relevant existing Senior Management Function(s) (SMF(s)) most appropriate within the firm’s organisational structure and risk profile, and ensure that these responsibilities are included in the SMF(s)’s Statementof Responsibilities. The PRA expects to see evidence that the board and its relevant sub-committees exercise effective oversight of risk management and controls. Further, the PRA expects the board to ensure that adequate resources and sufficient skills and expertise are devoted to managing the financial risks from climate change.","PRA SS3/19 3.4","The PRA expects firms to have clear roles and responsibilities for the board and its relevant sub-committees in managing the financial risks from climate change. In particular, the board and the highest level of executive management should identify and allocate responsibility for identifying and managing financial risks from climate change to the relevant existing Senior Management Function(s) (SMF(s)) most appropriate within the firm’s organisational structure and risk profile, and ensure that these responsibilities are included in the SMF(s)’s Statementof Responsibilities. The PRA expects to see evidence that the board and its relevant sub-committees exercise effective oversight of risk management and controls. Further, the PRA expects the board to ensure that adequate resources and sufficient skills and expertise are devoted to managing the financial risks from climate change.",1
